date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:59:06	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:59:06%20GMT	https://nft-tailwind.preview.uideck.com/index.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index-2.html	(from https://nft-tailwind.preview.uideck.com/support)
05:59:07	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:59:07%20GMT	https://nft-tailwind.preview.uideck.com/index.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index-2.html	(from https://nft-tailwind.preview.uideck.com/support)
05:59:09	4101/4101	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2004:59:08%20GMT	https://nft-tailwind.preview.uideck.com/cdn-cgi/l/email-protection	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/cdn-cgi/l/email-protection.html	(from https://nft-tailwind.preview.uideck.com/support)
05:59:09	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:59:09%20GMT	https://nft-tailwind.preview.uideck.com/index.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index-2.html	(from https://nft-tailwind.preview.uideck.com/support)
05:59:10	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262890c9d-4d7%22	https://nft-tailwind.preview.uideck.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://nft-tailwind.preview.uideck.com/support)
05:59:11	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:59:11%20GMT	https://nft-tailwind.preview.uideck.com/index.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index-2.html	(from https://nft-tailwind.preview.uideck.com/signin)
05:59:12	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:59:12%20GMT	https://nft-tailwind.preview.uideck.com/index.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index-2.html	(from https://nft-tailwind.preview.uideck.com/signin)
05:59:13	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:59:13%20GMT	https://nft-tailwind.preview.uideck.com/index.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index-2.html	(from https://nft-tailwind.preview.uideck.com/signin)
05:59:14	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:59:14%20GMT	https://nft-tailwind.preview.uideck.com/index.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index-2.html	(from https://nft-tailwind.preview.uideck.com/signup)
05:59:15	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:59:15%20GMT	https://nft-tailwind.preview.uideck.com/index.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index-2.html	(from https://nft-tailwind.preview.uideck.com/signup)
05:59:16	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:59:16%20GMT	https://nft-tailwind.preview.uideck.com/index.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index-2.html	(from https://nft-tailwind.preview.uideck.com/signup)
05:59:18	193/193	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2026%20May%202022%2004:59:17%20GMT	https://nft-tailwind.preview.uideck.com/js/alpine.min.js	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/js/alpine.min.js	(from https://nft-tailwind.preview.uideck.com/)
05:59:18	193/193	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2026%20May%202022%2004:59:17%20GMT	https://nft-tailwind.preview.uideck.com/js/wow.min.js	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/js/wow.min.js	(from https://nft-tailwind.preview.uideck.com/)
05:59:18	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2026%20May%202022%2004:59:17%20GMT	https://nft-tailwind.preview.uideck.com/images/hero/common-bg.jpg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/hero/common-bg.jpg	(from https://nft-tailwind.preview.uideck.com/)
05:59:18	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2026%20May%202022%2004:59:17%20GMT	https://nft-tailwind.preview.uideck.com/images/auctions/creator-04.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/auctions/creator-04.png	(from https://nft-tailwind.preview.uideck.com/)
